6.245 134.64 0.00415000 2.229e+01 0.005e+01 4.9e+01  0.1e+01 
6.260 136.79 0.00405500 2.199e+01 0.007e+01 5.7e+01  0.2e+01 
6.285 140.45 0.00395000 2.156e+01 0.006e+01 7.4e+01  0.2e+01 
6.315 144.95 0.00380000 2.018e+01 0.001e+01 8.6e+01  0.2e+01 
6.341 148.96 0.00370000 1.92e+01  0.01e+01  1.04e+02 0.02e+02
6.354 151.00 0.00364000 1.851e+01 0.002e+01 1.12e+02 0.04e+02
6.390 156.78 0.00347000 1.582e+01 0.002e+01 1.42e+02 0.04e+02
6.423 162.25 0.00335000 1.301e+01 0.002e+01 1.57e+02 0.04e+02
6.445 165.98 0.00326000 1.099e+01 0.004e+01 1.51e+02 0.04e+02
6.460 168.57 0.00320000 9.84e+00  0.02e+00  1.54e+02 0.03e+02
6.488 173.49 0.00310000 7.71e+00  0.05e+00  1.37e+02 0.02e+02
6.515 178.36 0.00302000 6.23e+00  0.04e+00  1.16e+02 0.02e+02
