6.260 136.79 0.00101250 1.788e+01 0.009e+01 2.23e+02 0.03e+02
6.285 140.45 0.00098750 1.643e+01 0.003e+01 2.80e+02 0.02e+02
6.300 142.69 0.00096500 1.518e+01 0.005e+01 3.17e+02 0.02e+02
6.315 144.95 0.00095000 1.405e+01 0.004e+01 3.52e+02 0.02e+02
6.330 147.25 0.00093250 1.256e+01 0.005e+01 3.87e+02 0.02e+02
6.354 151.00 0.00091000 1.026e+01 0.007e+01 4.28e+02 0.02e+02
6.372 153.87 0.00088910 8.39e+00  0.06e+00  4.20e+02 0.01e+02 
6.390 156.78 0.00086750 6.76e+00  0.03e+00  3.91e+02 0.02e+02 
6.423 162.25 0.00083750 4.45e+00  0.03e+00  3.04e+02 0.02e+02 
6.445 165.98 0.00081500 3.35e+00  0.04e+00  2.44e+02 0.03e+02
